timestamp_unix,timestamp_iso,participant_full_id,activity_class,missing_value_reason
1703496900000,2023-12-25T09:35:00Z,288-1-1-111,generic,
1703496960000,2023-12-25T09:36:00Z,288-1-1-111,generic,
1703497020000,2023-12-25T09:37:00Z,288-1-1-111,generic,
1703497080000,2023-12-25T09:38:00Z,288-1-1-111,generic,
1703497140000,2023-12-25T09:39:00Z,288-1-1-111,generic,
1703497200000,2023-12-25T09:40:00Z,288-1-1-111,generic,
1703497260000,2023-12-25T09:41:00Z,288-1-1-111,generic,
1703497320000,2023-12-25T09:42:00Z,288-1-1-111,still,
1703497380000,2023-12-25T09:43:00Z,288-1-1-111,generic,
1703497440000,2023-12-25T09:44:00Z,288-1-1-111,generic,
1703497500000,2023-12-25T09:45:00Z,288-1-1-111,generic,
1703497560000,2023-12-25T09:46:00Z,288-1-1-111,generic,
1703497620000,2023-12-25T09:47:00Z,288-1-1-111,generic,
1703497680000,2023-12-25T09:48:00Z,288-1-1-111,still,
1703497740000,2023-12-25T09:49:00Z,288-1-1-111,generic,
1703497800000,2023-12-25T09:50:00Z,288-1-1-111,generic,
1703497860000,2023-12-25T09:51:00Z,288-1-1-111,generic,
1703497920000,2023-12-25T09:52:00Z,288-1-1-111,generic,
1703497980000,2023-12-25T09:53:00Z,288-1-1-111,generic,
1703498040000,2023-12-25T09:54:00Z,288-1-1-111,generic,
1703498100000,2023-12-25T09:55:00Z,288-1-1-111,generic,
1703498160000,2023-12-25T09:56:00Z,288-1-1-111,generic,
1703498220000,2023-12-25T09:57:00Z,288-1-1-111,generic,
1703498280000,2023-12-25T09:58:00Z,288-1-1-111,generic,
1703498340000,2023-12-25T09:59:00Z,288-1-1-111,generic,
1703498400000,2023-12-25T10:00:00Z,288-1-1-111,generic,
1703498460000,2023-12-25T10:01:00Z,288-1-1-111,generic,
1703498520000,2023-12-25T10:02:00Z,288-1-1-111,generic,
1703498580000,2023-12-25T10:03:00Z,288-1-1-111,generic,
1703498640000,2023-12-25T10:04:00Z,288-1-1-111,generic,
1703498700000,2023-12-25T10:05:00Z,288-1-1-111,generic,
1703498760000,2023-12-25T10:06:00Z,288-1-1-111,generic,
1703498820000,2023-12-25T10:07:00Z,288-1-1-111,generic,
1703498880000,2023-12-25T10:08:00Z,288-1-1-111,generic,
1703498940000,2023-12-25T10:09:00Z,288-1-1-111,generic,
1703499000000,2023-12-25T10:10:00Z,288-1-1-111,generic,
1703499060000,2023-12-25T10:11:00Z,288-1-1-111,generic,
1703499120000,2023-12-25T10:12:00Z,288-1-1-111,generic,
1703499180000,2023-12-25T10:13:00Z,288-1-1-111,generic,
1703499240000,2023-12-25T10:14:00Z,288-1-1-111,generic,
1703499300000,2023-12-25T10:15:00Z,288-1-1-111,generic,
1703499360000,2023-12-25T10:16:00Z,288-1-1-111,generic,
1703499420000,2023-12-25T10:17:00Z,288-1-1-111,generic,
1703499480000,2023-12-25T10:18:00Z,288-1-1-111,generic,
1703499540000,2023-12-25T10:19:00Z,288-1-1-111,generic,
1703499600000,2023-12-25T10:20:00Z,288-1-1-111,generic,
1703499660000,2023-12-25T10:21:00Z,288-1-1-111,generic,
1703499720000,2023-12-25T10:22:00Z,288-1-1-111,generic,
